"Baranyi and Roberts with ROSSO (one-step estimation)"
"parameter estimates are actual, 95% interval is from  100 bootstraps"
""
"temp","mu_max_hat","2.5%","97.5%"
3,0.00213188809855128,0.00115893591884524,0.00340995893554656
4,0.000349198374746284,6.16391042012227e-05,0.00088963583648123
5,7.67218482644158e-05,5.09222832316829e-07,0.000336204112934263
6,0.00130776010170487,0.000758889285183912,0.00198840369812356
7,0.00403504615051063,0.00315551533557751,0.00503024555020628
8,0.00825068280953695,0.00719809111387282,0.00945429191338061
9,0.0139460728645745,0.0127535064160868,0.0153264352259036
10,0.0211118397487605,0.0198864978751986,0.0227322960403485
11,0.0297377371826382,0.028248024938183,0.0315742650002573
12,0.0398125459439271,0.037978786723141,0.0419942942773271
13,0.0513239555763107,0.0492251073035453,0.0537590669452368
14,0.0642584284097736,0.0617233489437978,0.0671532062301189
15,0.0786010427277736,0.0755824047079024,0.0820810412142624
16,0.094335311252461,0.0907461517542743,0.0986015695417902
17,0.111442970294094,0.107362381246779,0.116340172632525
18,0.129903733880193,0.125319809895692,0.135526730788221
19,0.149695005885277,0.144343547241398,0.156365674076218
20,0.170791541545906,0.16453848529153,0.178622643819801
21,0.193165047665048,0.1857698173134,0.202241991246614
22,0.216783708146205,0.208218553512141,0.227237196906861
23,0.241611618063954,0.231880259209864,0.25352412120888
24,0.267608105017847,0.256825762814964,0.28101652475195
25,0.294726910678924,0.282909643765186,0.309714521335665
26,0.322915197732173,0.310105723423685,0.339550794055797
27,0.352112337155671,0.338379442739141,0.370420578380323
28,0.382248416979033,0.367518647604675,0.402246159254837
29,0.413242394923025,0.39738774936218,0.435147295671614
30,0.444999791590114,0.428302521991976,0.468660742493516
31,0.477409785128853,0.459913007556174,0.502683868115056
32,0.510341518007043,0.491930977498594,0.537184217300428
33,0.54363935481601,0.523876225194867,0.571975546993813
34,0.577116726245453,0.556031705706525,0.606841409712678
35,0.610548041746026,0.587779463906142,0.64046991013503
36,0.64365792498941,0.619629329602277,0.675282399834259
37,0.676106677788402,0.651128032836389,0.709038606590809
38,0.707470335209098,0.679897668098725,0.741019132883061
39,0.737212808608424,0.706857593977571,0.772739184515266
40,0.764646195540755,0.731068094323388,0.804437623318659
41,0.788872945481705,0.750621304030047,0.834036013635899
42,0.80869940628939,0.765518866060662,0.859891344516836
43,0.8225027436132,0.773822028171536,0.880874135496647
44,0.828018996940465,0.773621220464952,0.89684030804863
45,0.821991773687322,0.761439704295452,0.90188717711231
46,0.799561514150868,0.732419165063271,0.889579320845068
46.1025641025641,0.796066470282871,0.728128897183613,0.887093516190562
46.2051282051282,0.792312787023828,0.723472864806884,0.884335499411077
46.3076923076923,0.788289614293887,0.718715770750321,0.881291584316438
46.4102564102564,0.783985525017571,0.713887106003532,0.87794720235168
46.5128205128205,0.779388476251978,0.708783886120808,0.874286830061707
46.6153846153846,0.774485767129533,0.703408250461331,0.870293909253856
46.7179487179487,0.769263993306552,0.697757645487311,0.865950758982839
46.8205128205128,0.763708997574144,0.691827769515717,0.86195284598412
46.9230769230769,0.7578058162489,0.685608815517484,0.857686559123343
47,0.753140445946122,0.680748748156912,0.854226655368536
47.025641025641,0.751538620916564,0.679090541071924,0.853021470229728
47.1282051282051,0.744890655051851,0.672262243928569,0.847930637930473
47.2307692307692,0.737844164980815,0.665112735903949,0.842387281524475
47.3333333333333,0.730380324587702,0.657630314979394,0.836362405905265
47.4358974358974,0.722479153094887,0.649802735453514,0.829824567760624
47.5384615384615,0.714119425160803,0.641760550578232,0.822739611498787
47.6410256410256,0.70527857244527,0.633450901020249,0.81507037022514
47.7435897435897,0.695932575682227,0.624763135904962,0.806776326248815
47.8461538461538,0.686055846174426,0.615608338905195,0.797813224578577
47.9487179487179,0.675621095480459,0.605915560592274,0.788132631630092
48,0.670185434754145,0.6009021085988,0.783006874966763
48.0512820512821,0.664599191898335,0.595774214536871,0.777681429859661
48.1538461538462,0.65295900215808,0.585002273590777,0.76640123719563
48.2564102564103,0.640667216513812,0.573626536577408,0.7542277378721
48.3589743589744,0.627688155168269,0.561734546932931,0.741368033482367
48.4615384615385,0.613983553663299,0.549277123573457,0.72769857860402
48.5641025641026,0.599512324520621,0.536223934023173,0.712946531670199
48.6666666666667,0.584230292008937,0.522580058696153,0.697020268894346
48.7692307692308,0.568089896434872,0.508196661289714,0.6798176752922
48.8717948717949,0.55103986379253,0.492932420436543,0.661224598566738
48.974358974359,0.533024835942898,0.476959141650225,0.641113021210697
49,0.528363389252056,0.47285105079654,0.635831367213433
49.0769230769231,0.513984955709453,0.460467813570969,0.619338889022898
49.1794871794872,0.493855400344937,0.443726002292648,0.595739518238056
49.2820512820513,0.472565855715385,0.426101320687775,0.57013048265863
49.3846153846154,0.450039922222592,0.406528981022255,0.543327032061734
49.4871794871795,0.426194441897715,0.385279538424289,0.517530243201655
49.5897435897436,0.400938734186809,0.36270255201702,0.486154765788878
49.6923076923077,0.374173725639081,0.33791579163512,0.447923767866908
49.7948717948718,0.345790955906197,0.313042713458549,0.411073017089303
49.8974358974359,0.315671439046595,0.286192151444022,0.37037023207987
50,0.283684354950268,0.25271744831711,0.338531776704427
50.7044062095487,0,0,0.136174882179601
